timestamp,event,attention_state,window
2026-03-13 23:18:06.669666,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.677090,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.683845,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.690989,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.698340,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.705211,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.712322,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.719253,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.726757,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.733598,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.740949,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.747922,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.755344,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.762121,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.769145,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.776918,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.783744,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.790888,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.797699,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.804800,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:06.811355,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:07.244351,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:07.251248,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:07.258626,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:07.265568,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:07.272589,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:07.280096,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:07.286931,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
2026-03-13 23:18:07.294013,mouse_move,Active Engagement,dashboard.py - attentionmap - Visual Studio Code
